sampleID	ai1	lst1	hrd-loh	HRD
TCGA-02-0001-01	5	8	5	18
TCGA-02-0003-01	2	4	1	7
TCGA-02-0006-01	1	9	3	13
TCGA-02-0007-01	6	4	8	18
TCGA-02-0009-01	3	2	1	6
TCGA-02-0010-01	9	11	9	29
TCGA-02-0011-01	7	3	2	12
TCGA-02-0014-01	11	12	8	31
TCGA-02-0015-01	4	6	6	16
TCGA-02-0016-01	1	1	3	5
TCGA-02-0021-01	1	4	1	6
TCGA-02-0023-01	3	1	2	6
TCGA-02-0024-01	5	15	3	23
TCGA-02-0025-01	10	22	4	36
TCGA-02-0026-01	9	9	8	26
TCGA-02-0027-01	1	3	4	8
TCGA-02-0028-01	4	9	6	19
TCGA-02-0033-01	0	0	0	0
TCGA-02-0034-01	4	3	4	11
TCGA-02-0037-01	3	0	1	4
TCGA-02-0038-01	0	6	2	8
TCGA-02-0039-01	2	0	0	2
TCGA-02-0043-01	2	7	1	10
TCGA-02-0046-01	0	0	0	0
TCGA-02-0047-01	3	2	2	7
TCGA-02-0048-01	2	1	3	6
TCGA-02-0051-01	7	4	1	12
TCGA-02-0052-01	0	1	3	4
TCGA-02-0054-01	4	3	5	12
TCGA-02-0055-01	0	2	1	3
TCGA-02-0057-01	0	1	1	2
TCGA-02-0058-01	5	8	4	17
TCGA-02-0059-01	0	0	0	0
TCGA-02-0060-01	3	2	4	9
TCGA-02-0064-01	4	2	3	9
TCGA-02-0068-01	1	4	2	7
TCGA-02-0069-01	13	8	5	26
TCGA-02-0070-01	0	0	0	0
TCGA-02-0071-01	0	2	1	3
TCGA-02-0074-01	0	0	1	1
TCGA-02-0075-01	0	0	0	0
TCGA-02-0079-01	5	2	6	13
TCGA-02-0080-01	7	3	1	11
TCGA-02-0083-01	3	4	4	11
TCGA-02-0084-01	3	2	3	8
TCGA-02-0085-01	1	1	0	2
TCGA-02-0086-01	1	1	4	6
TCGA-02-0087-01	4	2	1	7
TCGA-02-0089-01	1	4	2	7
TCGA-02-0099-01	4	9	7	20
TCGA-02-0102-01	0	1	1	2
TCGA-02-0104-01	11	11	8	30
TCGA-02-0106-01	10	8	6	24
TCGA-02-0107-01	0	0	0	0
TCGA-02-0111-01	4	5	6	15
TCGA-02-0113-01	0	0	0	0
TCGA-02-0114-01	7	9	6	22
TCGA-02-0115-01	4	7	4	15
TCGA-02-0116-01	1	3	3	7
TCGA-02-0258-01	8	12	9	29
TCGA-02-0260-01	3	0	4	7
TCGA-02-0266-01	5	6	0	11
TCGA-02-0269-01	0	0	0	0
TCGA-02-0271-01	3	3	0	6
TCGA-02-0281-01	3	3	2	8
TCGA-02-0285-01	2	0	2	4
TCGA-02-0290-01	3	0	1	4
TCGA-02-0317-01	2	1	4	7
TCGA-02-0321-01	6	7	6	19
TCGA-02-0324-01	1	0	1	2
TCGA-02-0325-01	2	3	1	6
TCGA-02-0326-01	0	0	0	0
TCGA-02-0330-01	2	2	3	7
TCGA-02-0332-01	2	3	0	5
TCGA-02-0333-01	3	3	4	10
TCGA-02-0337-01	0	1	1	2
